City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Hithadhoo,MV,-0.6,73.0833,80.67,79,100,16.75,overcast clouds
144,Olafsvik,IS,64.8945,-23.7142,38.1,64,100,13.65,overcast clouds
145,Chadiza,ZM,-14.0678,32.4392,74.86,21,0,7.36,clear sky
146,Cham,DE,49.245,12.6825,56.48,94,13,3.04,few clouds
147,Monrovia,LR,6.3005,-10.7969,80.37,82,90,5.77,overcast clouds
148,Ayagoz,KZ,47.9714,80.4392,34.32,90,7,4.36,clear sky
149,Antsohihy,MG,-14.8796,47.9875,72.66,79,0,3.02,clear sky
150,San Carlos,VE,9.6612,-68.5827,82.04,82,90,3.74,overcast clouds
151,Estelle,US,29.8458,-90.1067,81.0,40,0,16.11,clear sky
152,Turukhansk,RU,65.8167,87.9833,38.64,98,100,13.98,light rain
153,Rawson,AR,-43.3002,-65.1023,72.39,20,8,8.57,clear sky
154,Zakupne,UA,49.1194,26.3376,45.48,67,20,6.22,few clouds
155,Abalak,RU,58.1286,68.5944,50.27,71,100,12.08,overcast clouds
156,Neuquen,AR,-38.9516,-68.0591,75.09,13,0,2.3,clear sky
157,Diego De Almagro,CL,-26.3667,-70.05,71.87,13,0,12.19,clear sky
158,Soyo,AO,-6.1349,12.3689,77.04,83,0,9.84,clear sky
159,Rognan,NO,67.0953,15.3878,48.34,88,100,4.68,light rain
160,Ponta Do Sol,PT,32.6667,-17.1,74.12,75,56,8.05,broken clouds
161,Berbera,SO,10.4396,45.0143,85.62,68,0,5.01,clear sky
162,Klaksvik,FO,62.2266,-6.589,41.92,73,100,31.34,light rain
163,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,87.22,54,100,3.29,overcast clouds
164,Jacqueville,CI,5.2052,-4.4146,77.9,86,14,8.66,few clouds
165,Mut,TR,36.6439,33.4389,67.64,55,0,7.45,clear sky
166,Hit,IQ,33.6416,42.8251,77.88,32,4,8.75,clear sky
167,Saint Leonard,CA,47.173,-67.9247,52.12,60,100,8.43,overcast clouds
168,Maceio,BR,-9.6658,-35.7353,83.64,69,40,13.8,scattered clouds
169,Normandin,CA,48.8333,-72.5321,48.51,53,99,14.97,overcast clouds
170,Mabaruma,GY,8.2,-59.7833,87.6,56,55,7.56,broken clouds
171,Nouakchott,MR,18.0858,-15.9785,80.53,70,100,11.01,overcast clouds
172,Conde,BR,-7.2597,-34.9075,83.66,61,40,19.57,scattered clouds
173,Rio Tercero,AR,-32.173,-64.1141,70.45,14,2,13.82,clear sky
