City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Carbonia,IT,2022-10-10 01:56:55,39.1672,8.5222,63.01,84,91,2.89
155,Kanadey,RU,2022-10-10 01:56:55,53.1679,47.5264,47.52,71,97,5.26
156,Ouahigouya,BF,2022-10-10 01:56:55,13.5828,-2.4216,80.46,59,7,7.58
157,Libertador General San Martin,AR,2022-10-10 01:56:56,-23.8064,-64.7876,56.16,29,0,5.23
158,Castro,BR,2022-10-10 01:56:56,-24.7911,-50.0119,59.36,98,100,10.18
159,Bandar-E Anzali,IR,2022-10-10 01:56:57,37.4727,49.4622,68.36,87,0,4.47
160,Orguz,BA,2022-10-10 01:56:57,43.7739,16.8639,55.04,80,100,4.5
161,Develi,TR,2022-10-10 01:56:57,38.3906,35.4922,51.15,81,8,1.61
162,Contai,IN,2022-10-10 01:56:58,21.7786,87.7536,82.98,80,45,3.8
163,Cervo,ES,2022-10-10 01:56:58,43.6702,-7.4101,60.01,86,100,6.98
164,Mount Pleasant,US,2022-10-10 01:56:58,32.7941,-79.8626,71.01,82,0,8.05
165,Cizre,TR,2022-10-10 01:56:59,37.3272,42.1903,67.51,49,0,1.86
166,Urucara,BR,2022-10-10 01:56:59,-2.5364,-57.76,83.57,45,48,2.62
167,Biltine,TD,2022-10-10 01:57:00,14.5333,20.9167,81.86,55,69,1.81
168,Lagoa,PT,2022-10-10 01:57:00,39.05,-27.9833,70.23,93,0,10.71
169,Sur,OM,2022-10-10 01:57:01,22.5667,59.5289,78.66,45,9,2.93
170,Ipaba,BR,2022-10-10 01:57:01,-19.4136,-42.4194,71.74,94,0,5.75
171,Kuntaur,GM,2022-10-10 01:57:02,13.6667,-14.8833,74.89,88,75,3.11
172,Kutum,SD,2022-10-10 01:57:02,14.2,24.6667,73.72,26,59,10.94
173,Barra Dos Coqueiros,BR,2022-10-10 01:57:03,-10.9089,-37.0386,78.82,78,40,12.66
174,Kidal,ML,2022-10-10 01:57:03,18.4411,1.4078,84.16,17,0,12.75
175,Camacari,BR,2022-10-10 01:54:31,-12.6975,-38.3242,80.37,86,8,6.78
176,Ambanja,MG,2022-10-10 01:57:04,-13.6833,48.45,67.53,71,20,4.16
177,Hobyo,SO,2022-10-10 01:57:05,5.3505,48.5268,76.95,85,34,17.85
178,La Roche-Sur-Yon,FR,2022-10-10 01:55:32,46.6667,-1.4333,57.47,100,75,5.75
179,Macau,MO,2022-10-10 01:58:06,22.2006,113.5461,75.85,68,20,26.46
180,Hambantota,LK,2022-10-10 01:58:06,6.1241,81.1185,77.34,100,40,2.3
181,Takoradi,GH,2022-10-10 01:58:07,4.8845,-1.7554,75.69,91,100,6.62
182,Torbay,CA,2022-10-10 01:58:07,47.6666,-52.7314,45.37,90,20,10.36
183,Kruisfontein,ZA,2022-10-10 01:58:08,-34.0033,24.7314,54.88,94,99,4.25
184,Esna,EG,2022-10-10 01:58:08,25.2934,32.554,72.45,44,0,10.94
185,Elat,IL,2022-10-10 01:58:09,29.5581,34.9482,71.44,73,0,8.05
186,Henties Bay,NA,2022-10-10 01:58:10,-22.116,14.2845,59.5,93,99,7.65
187,Vryburg,ZA,2022-10-10 01:58:11,-26.9566,24.7284,67.59,30,27,9.93
188,Clyde River,CA,2022-10-10 01:58:11,70.4692,-68.5914,17.83,79,100,12.66
189,Buchanan,LR,2022-10-10 01:58:12,5.8808,-10.0467,75.76,91,27,1.25
190,Badarganj,BD,2022-10-10 01:58:13,25.674,89.0549,78.24,89,72,2.84
191,Oktyabrskoye,RU,2022-10-10 01:58:13,43.0645,44.7417,48.34,100,100,2.24
192,Aripuana,BR,2022-10-10 01:58:14,-9.1667,-60.6333,74.84,79,33,3.36
193,Kholm,RU,2022-10-10 01:54:21,59.2667,32.85,38.95,97,8,4.61
194,Bay Roberts,CA,2022-10-10 01:58:14,47.5999,-53.2648,46.15,81,33,7.61
195,Olafsvik,IS,2022-10-10 01:58:15,64.8945,-23.7142,36.14,63,78,9.15
196,Meleuz,RU,2022-10-10 01:58:15,52.9667,55.9167,42.91,79,12,5.5
197,Guaratinga,BR,2022-10-10 01:58:16,-16.5667,-39.5667,68.61,96,0,2.1
198,Bonavista,CA,2022-10-10 01:58:16,48.6499,-53.1147,48.83,75,7,19.48
199,Strezhevoy,RU,2022-10-10 01:58:17,60.7333,77.5889,37.94,91,100,7.52
200,Caconda,AO,2022-10-10 01:58:17,-13.7333,15.0667,58.41,88,68,3.04
201,Moroni,KM,2022-10-10 01:58:17,-11.7022,43.2551,72.68,74,0,6.04
202,Selje,NO,2022-10-10 01:58:18,62.0459,5.351,57.18,17,89,23.55
203,Sambava,MG,2022-10-10 01:58:18,-14.2667,50.1667,68.95,82,85,12.15
204,Kajaani,FI,2022-10-10 01:58:19,64.2273,27.7285,37.45,93,40,10.36
205,Awbari,LY,2022-10-10 01:58:19,26.5921,12.7805,69.6,34,0,5.35
206,Djougou,BJ,2022-10-10 01:58:20,9.7085,1.666,69.46,94,14,4.68
207,Bella Union,UY,2022-10-10 01:58:20,-30.2752,-57.6007,48.36,64,0,7.7
208,Klaksvik,FO,2022-10-10 01:58:21,62.2266,-6.589,43.72,72,99,33.98
209,Narsaq,GL,2022-10-10 01:58:21,60.9167,-46.05,37.24,98,100,4.83
210,Tenenkou,ML,2022-10-10 01:58:21,14.4572,-4.9169,85.53,46,65,7.45
211,Taltal,CL,2022-10-10 01:58:22,-25.4,-70.4833,57.88,75,20,3.36
212,Gornopravdinsk,RU,2022-10-10 01:58:22,60.05,69.9,42.39,95,100,8.81
213,Bathsheba,BB,2022-10-10 01:58:23,13.2167,-59.5167,81.21,83,20,6.91
214,Ankazoabo,MG,2022-10-10 01:58:23,-22.2833,44.5167,67.21,55,0,3.53
215,Tanout,NE,2022-10-10 01:58:24,14.9709,8.8879,83.46,20,1,9.89
216,Niamey,NE,2022-10-10 01:58:24,13.5137,2.1098,84.49,70,0,4.61
217,Muros,ES,2022-10-10 01:58:25,42.7762,-9.0603,61.09,92,100,11.61
218,Aswan,EG,2022-10-10 01:58:25,24.0934,32.907,73.72,41,0,12.33
219,Kadoma,JP,2022-10-10 01:58:25,34.7333,135.5833,70.18,86,75,2.3
220,Madimba,TZ,2022-10-10 01:58:26,-10.4,40.3333,70.21,85,1,3.18
221,Eganville,CA,2022-10-10 01:58:26,45.5334,-77.0994,34.52,68,11,3.4
222,Belmonte,BR,2022-10-10 01:58:26,-15.8631,-38.8828,75.45,85,2,9.01
223,Cabedelo,BR,2022-10-10 01:58:27,-6.9811,-34.8339,77.67,82,15,14.16
224,Andenes,NO,2022-10-10 01:59:27,69.3143,16.1194,45.93,93,100,9.22
225,Shache,CN,2022-10-10 01:59:28,38.4167,77.2406,57.2,24,0,3.18
226,Saint-Louis,SN,2022-10-10 01:59:28,16.3333,-15.0,82.6,58,96,11.5
227,Tselinnoye,RU,2022-10-10 01:59:29,53.0833,85.6667,45.55,83,98,15.77
228,Shakhtinsk,KZ,2022-10-10 01:59:29,49.71,72.5872,38.1,79,57,5.03
229,Bafq,IR,2022-10-10 01:59:29,31.6128,55.4107,60.82,17,0,1.23
230,Westport,US,2022-10-10 01:58:04,41.1415,-73.3579,56.17,73,39,3.0
231,Cordoba,AR,2022-10-10 01:54:37,-31.4135,-64.1811,57.24,26,0,9.22
232,Senanga,ZM,2022-10-10 01:59:30,-16.1167,23.2667,65.71,28,0,6.58
233,Porto Novo,BJ,2022-10-10 01:59:30,6.4965,2.6036,75.02,87,45,0.69
234,Caravelas,BR,2022-10-10 01:59:31,-17.7125,-39.2481,75.13,83,0,7.07
235,Atar,MR,2022-10-10 01:59:31,20.5169,-13.0499,88.43,34,100,4.09
236,Villa Carlos Paz,AR,2022-10-10 01:54:40,-31.4241,-64.4978,53.89,32,0,3.0
237,Kemijarvi,FI,2022-10-10 01:59:32,66.7131,27.4306,36.27,97,42,8.25
238,Kousseri,CM,2022-10-10 01:59:32,12.0769,15.0306,79.61,45,5,0.43
239,Pimentel,PE,2022-10-10 01:59:32,-6.8367,-79.9342,62.83,87,89,11.34
240,Benghazi,LY,2022-10-10 01:59:33,32.1167,20.0667,70.65,59,0,5.53
241,Meulaboh,ID,2022-10-10 01:59:33,4.1363,96.1285,80.92,74,66,2.1
242,Camacha,PT,2022-10-10 01:59:34,33.0833,-16.3333,65.62,83,40,5.75
243,Mercedes,AR,2022-10-10 01:59:34,-34.6515,-59.4307,50.86,34,0,8.05
244,Saint Anthony,US,2022-10-10 01:59:34,45.0205,-93.218,59.14,60,40,5.75
245,Vila Franca Do Campo,PT,2022-10-10 01:59:35,37.7167,-25.4333,72.19,92,46,5.7
246,Tiznit,MA,2022-10-10 01:59:35,29.5833,-9.5,67.6,83,5,1.07
247,Port Shepstone,ZA,2022-10-10 01:59:36,-30.7414,30.455,66.42,80,30,6.42
248,Ornskoldsvik,SE,2022-10-10 01:59:36,63.2909,18.7153,34.75,100,97,2.3
249,Pushkinskiye Gory,RU,2022-10-10 01:59:36,57.0209,28.9103,38.3,95,1,4.16
250,Krasnoselkup,RU,2022-10-10 01:59:37,65.7,82.4667,39.56,94,100,18.34
251,Vadu Pasii,RO,2022-10-10 01:59:37,45.1667,26.9,57.47,53,83,14.52
252,Gao,ML,2022-10-10 01:59:38,16.6362,1.637,84.2,15,4,11.99
253,Adrar,MR,2022-10-10 01:59:39,20.5022,-10.0711,86.74,29,100,21.45
254,Butembo,CD,2022-10-10 01:59:39,0.15,29.2833,57.63,92,99,1.86
255,Coihaique,CL,2022-10-10 01:59:40,-45.5752,-72.0662,46.35,57,0,8.05
256,Gardelegen,DE,2022-10-10 01:59:40,52.5252,11.3952,43.9,78,11,7.78
257,Moroto,UG,2022-10-10 01:59:40,2.5345,34.6666,68.31,62,69,4.09
258,Hun,LY,2022-10-10 01:59:41,29.1268,15.9477,67.82,55,0,8.75
259,Khash,IR,2022-10-10 01:59:41,28.2211,61.2158,53.96,10,0,4.43
260,Sisimiut,GL,2022-10-10 01:59:41,66.9395,-53.6735,25.16,67,100,7.63
261,Beloha,MG,2022-10-10 01:59:42,-25.1667,45.05,68.9,96,45,6.15
262,Lock Haven,US,2022-10-10 01:57:37,41.137,-77.4469,49.69,85,5,4.05
263,San Matias,BO,2022-10-10 01:59:42,-16.3667,-58.4,69.19,83,96,6.33
264,Morant Bay,JM,2022-10-10 01:59:43,17.8815,-76.4093,83.82,84,53,9.35
265,Santo Domingo,DO,2022-10-10 01:56:07,18.5001,-69.9886,78.04,94,40,0.0
266,Rawson,AR,2022-10-10 01:59:07,-43.3002,-65.1023,54.68,41,0,18.03
267,Cockburn Town,TC,2022-10-10 01:59:43,21.4612,-71.1419,81.99,79,1,19.98
268,Mungwi,ZM,2022-10-10 01:59:44,-10.1732,31.3694,60.71,46,4,4.45
269,Necochea,AR,2022-10-10 02:00:44,-38.5473,-58.7368,42.78,78,0,5.01
270,Mbini,GQ,2022-10-10 02:00:44,1.574,9.6134,76.32,90,87,4.83
271,Asfi,MA,2022-10-10 02:00:45,32.2994,-9.2372,67.68,91,100,7.83
272,Viedma,AR,2022-10-10 02:00:29,-40.8135,-62.9967,46.35,67,6,10.4
273,Brae,GB,2022-10-10 02:00:46,60.3964,-1.353,49.17,77,2,28.74
274,Bayir,TR,2022-10-10 02:00:47,37.2687,28.2167,52.32,64,0,3.06
275,Minsk,BY,2022-10-10 01:58:12,53.9,27.5667,37.15,85,4,6.33
276,Sept-Iles,CA,2022-10-10 02:00:48,50.2001,-66.3821,39.06,83,5,7.0
277,Pitimbu,BR,2022-10-10 02:00:49,-7.4706,-34.8086,76.21,83,34,13.2
278,Taoudenni,ML,2022-10-10 02:00:49,22.6783,-3.9836,88.18,28,100,20.71
279,Rio Cauto,CU,2022-10-10 02:00:50,20.5603,-76.9161,76.5,87,49,8.3
280,Benavente,ES,2022-10-10 02:00:50,42.0025,-5.6783,58.66,51,100,5.01
281,Goderich,CA,2022-10-10 02:00:50,43.7501,-81.7165,50.92,73,91,6.04
282,Saint George,US,2022-10-10 02:00:51,37.1041,-113.5841,81.25,22,0,8.05
283,Katsina,NG,2022-10-10 02:00:51,12.9894,7.6006,79.07,41,10,6.02
284,Zemio,CF,2022-10-10 02:00:52,5.0314,25.1361,68.25,92,97,1.77
285,Eenhana,NA,2022-10-10 02:00:52,-17.4667,16.3333,68.25,18,0,7.4
286,Badou,TG,2022-10-10 02:00:53,7.5833,0.6,70.54,94,63,2.24
287,Kangasala,FI,2022-10-10 02:00:53,61.4638,24.076,45.14,100,100,9.86
288,Amudat,UG,2022-10-10 02:00:54,1.95,34.95,68.85,72,39,3.53
289,Kingisepp,RU,2022-10-10 02:00:54,59.3733,28.6134,40.21,90,70,5.1
290,Matiri,TZ,2022-10-10 02:00:55,-10.75,34.9,57.0,49,0,4.5
291,Beira,MZ,2022-10-10 02:00:56,-19.8436,34.8389,69.89,100,0,4.61
292,Bubaque,GW,2022-10-10 02:00:56,11.2833,-15.8333,80.98,77,9,6.2
