,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Jacareacanga,BR,72.48,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
212,Jawhar,SO,75.94,clear sky,2.7809,45.5005,Hotel Shabelle
226,Basoko,CD,73.24,overcast clouds,1.2391,23.616,Jackyna Hotel
227,Zemio,CF,70.86,light rain,5.0314,25.1361,OCHA Office
229,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
230,Waidhofen,DE,60.28,few clouds,48.5833,11.3333,Edelweißhütte
233,Ormara,PK,79.54,clear sky,25.2088,64.6357,Kenara Colony House for Rent
234,Balkanabat,TM,73.29,clear sky,39.5108,54.3671,Nebitchi Hotel
237,Arvi,IN,72.72,overcast clouds,20.9833,78.2333,Geet shirbhate
238,Chicama,PE,64.94,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
243,Lichinga,MZ,69.89,clear sky,-13.3128,35.2406,Residencial Bendiak
244,Praia Da Vitoria,PT,75.45,few clouds,38.7333,-27.0667,Hotel Branco I
245,Lons,FR,67.05,overcast clouds,43.3167,-0.4,Appart'City Pau Centre - Appart Hôtel
249,Saint Andrews,US,72.14,overcast clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
253,Port Blair,IN,75.24,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
256,Saint Anthony,US,70.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
259,Sumbe,AO,73.56,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
260,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
264,Hamilton,US,73.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
266,Havelock,US,73.35,scattered clouds,34.8791,-76.9013,Sherwood Motel
270,Vangaindrano,MG,67.15,clear sky,-23.35,47.6,Hotel Fanilo
271,Nizhniy Baskunchak,RU,60.01,overcast clouds,48.2198,46.8311,Arman hotel
274,Rosetta,EG,72.18,clear sky,31.4044,30.4164,Green Valley
276,Lisala,CD,71.56,overcast clouds,2.15,21.5167,Guest house Eden
277,Arani,IN,75.06,overcast clouds,12.6667,79.2833,KPK LODGE
279,Candolim,IN,77.0,drizzle,15.5181,73.7626,Resort Terra Paraiso
280,Guspini,IT,68.72,scattered clouds,39.5406,8.6294,Hotel Sa Rocca
281,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
282,Morristown,US,70.95,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
285,Abu Zabad,SD,73.72,light rain,12.35,29.25,حامد محمد نور
287,Khanpur,PK,79.27,clear sky,28.6453,70.6567,Ahmad Bartan store
288,Alexandroupoli,GR,62.42,few clouds,40.8475,25.8744,Marianna Hotel
290,Melilla,ES,73.6,few clouds,35.2937,-2.9383,Hotel Anfora
292,Eyl,SO,78.1,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
295,Marrakesh,MA,73.47,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
303,Hobyo,SO,77.79,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
304,Plymouth,US,66.36,overcast clouds,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
313,Abha,SA,67.82,clear sky,18.2164,42.5053,Abha Hotel
322,Puerto Baquerizo Moreno,EC,70.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
324,Nanga Eboko,CM,66.29,light rain,4.6833,12.3667,Motel Papi Palace
325,Santiago Del Estero,AR,76.51,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
326,Matai,TZ,66.79,broken clouds,-8.3,31.5167,Rashid agro vet
327,Santa Cruz,BO,71.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
328,Imbituba,BR,60.85,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
333,Taltal,CL,61.61,few clouds,-25.4,-70.4833,Residencial Karime
334,Mount Vernon,US,71.01,scattered clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
336,Aguimes,ES,71.65,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
337,Punahana,IN,72.95,overcast clouds,27.8667,77.2,Aatam dairy
343,Mao,ES,68.56,few clouds,39.8885,4.2658,ARTIEM Capri
344,Muros,ES,64.15,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
